group,FPR,FNR,TPR,TNR
HS-grad,0.008110300081103,0.8803418803418803,0.11965811965811966,0.991889699918897
Assoc-acdm,0.0,0.7906976744186046,0.20930232558139536,1.0
Some-college,0.006150061500615006,0.8648648648648649,0.13513513513513514,0.993849938499385
Masters,0.008695652173913044,0.8110236220472441,0.1889763779527559,0.991304347826087
11th,0.0,0.6666666666666666,0.3333333333333333,1.0
Doctorate,0.0,0.8461538461538461,0.15384615384615385,1.0
Bachelors,0.011312217194570135,0.8362573099415205,0.16374269005847952,0.9886877828054299
10th,0.015873015873015872,0.75,0.25,0.9841269841269841
7th-8th,0.0125,1.0,0.0,0.9875
9th,0.0,1.0,0.0,1.0
12th,0.0,1.0,0.0,1.0
Prof-school,0.0,0.7258064516129032,0.27419354838709675,1.0
Assoc-voc,0.014598540145985401,0.8222222222222222,0.17777777777777778,0.9854014598540146
1st-4th,0.0,,,1.0
Preschool,0.0,,,1.0
5th-6th,0.0,0.6666666666666666,0.3333333333333333,1.0
