group,FPR,FNR,TPR,TNR
HS-grad,0.029197080291970802,0.8333333333333334,0.16666666666666666,0.9708029197080292
Assoc-acdm,0.041237113402061855,0.7674418604651163,0.23255813953488372,0.9587628865979382
Some-college,0.02952029520295203,0.8540540540540541,0.14594594594594595,0.9704797047970479
Masters,0.043478260869565216,0.8110236220472441,0.1889763779527559,0.9565217391304348
11th,0.006622516556291391,0.6666666666666666,0.3333333333333333,0.9933774834437086
Doctorate,0.08333333333333333,0.8076923076923077,0.19230769230769232,0.9166666666666666
Bachelors,0.042986425339366516,0.7660818713450293,0.23391812865497075,0.9570135746606335
10th,0.007936507936507936,0.625,0.375,0.9920634920634921
7th-8th,0.0125,1.0,0.0,0.9875
9th,0.0,1.0,0.0,1.0
12th,0.0,1.0,0.0,1.0
Prof-school,0.0625,0.5806451612903226,0.41935483870967744,0.9375
Assoc-voc,0.058394160583941604,0.8666666666666667,0.13333333333333333,0.9416058394160584
1st-4th,0.0,,,1.0
Preschool,0.0,,,1.0
5th-6th,0.02040816326530612,1.0,0.0,0.9795918367346939
