group,FPR,FNR,TPR,TNR
HS-grad,0.0008110300081103001,0.9529914529914529,0.04700854700854701,0.9991889699918897
Assoc-acdm,0.0,0.9302325581395349,0.06976744186046512,1.0
Some-college,0.0012300123001230013,0.9513513513513514,0.04864864864864865,0.998769987699877
Masters,0.0,0.9606299212598425,0.03937007874015748,1.0
11th,0.0,1.0,0.0,1.0
Doctorate,0.0,0.9423076923076923,0.057692307692307696,1.0
Bachelors,0.0022624434389140274,0.9415204678362573,0.05847953216374269,0.997737556561086
10th,0.0,1.0,0.0,1.0
7th-8th,0.0,1.0,0.0,1.0
9th,0.0,1.0,0.0,1.0
12th,0.0,1.0,0.0,1.0
Prof-school,0.0,0.9032258064516129,0.0967741935483871,1.0
Assoc-voc,0.0,0.9555555555555556,0.044444444444444446,1.0
1st-4th,0.0,,,1.0
Preschool,0.0,,,1.0
5th-6th,0.0,1.0,0.0,1.0
