group,FPR,FNR,TPR,TNR
HS-grad,0.010543390105433901,0.6965811965811965,0.3034188034188034,0.9894566098945661
Assoc-acdm,0.07216494845360824,0.37209302325581395,0.627906976744186,0.9278350515463918
Some-college,0.033210332103321034,0.5891891891891892,0.41081081081081083,0.966789667896679
Masters,0.22608695652173913,0.11811023622047244,0.8818897637795275,0.7739130434782608
11th,0.0,0.3333333333333333,0.6666666666666666,1.0
Doctorate,0.5833333333333334,0.19230769230769232,0.8076923076923077,0.4166666666666667
Bachelors,0.19230769230769232,0.1871345029239766,0.8128654970760234,0.8076923076923077
10th,0.0,0.5,0.5,1.0
7th-8th,0.0,1.0,0.0,1.0
9th,0.0,1.0,0.0,1.0
12th,0.0,1.0,0.0,1.0
Prof-school,0.3125,0.12903225806451613,0.8709677419354839,0.6875
Assoc-voc,0.043795620437956206,0.6,0.4,0.9562043795620438
1st-4th,0.0,,,1.0
Preschool,0.0,,,1.0
5th-6th,0.02040816326530612,0.6666666666666666,0.3333333333333333,0.9795918367346939
