group,FPR,FNR,TPR,TNR
HS-grad,0.030819140308191405,0.6965811965811965,0.3034188034188034,0.9691808596918086
Assoc-acdm,0.1134020618556701,0.4883720930232558,0.5116279069767442,0.8865979381443299
Some-college,0.05166051660516605,0.6378378378378379,0.3621621621621622,0.948339483394834
Masters,0.3130434782608696,0.11023622047244094,0.889763779527559,0.6869565217391305
11th,0.006622516556291391,0.5,0.5,0.9933774834437086
Doctorate,0.5833333333333334,0.21153846153846154,0.7884615384615384,0.4166666666666667
Bachelors,0.21945701357466063,0.1608187134502924,0.8391812865497076,0.7805429864253394
10th,0.023809523809523808,0.75,0.25,0.9761904761904762
7th-8th,0.0125,1.0,0.0,0.9875
9th,0.018867924528301886,1.0,0.0,0.9811320754716981
12th,0.0,0.6666666666666666,0.3333333333333333,1.0
Prof-school,0.4375,0.14516129032258066,0.8548387096774194,0.5625
Assoc-voc,0.10948905109489052,0.5777777777777777,0.4222222222222222,0.8905109489051095
1st-4th,0.0,,,1.0
Preschool,0.0,,,1.0
5th-6th,0.02040816326530612,0.6666666666666666,0.3333333333333333,0.9795918367346939
