group,FPR,FNR,TPR,TNR
HS-grad,0.055150040551500405,0.5897435897435898,0.41025641025641024,0.9448499594484996
Assoc-acdm,0.10309278350515463,0.3488372093023256,0.6511627906976745,0.8969072164948454
Some-college,0.06519065190651907,0.44324324324324327,0.5567567567567567,0.9348093480934809
Masters,0.2956521739130435,0.11811023622047244,0.8818897637795275,0.7043478260869566
11th,0.0,0.6666666666666666,0.3333333333333333,1.0
Doctorate,0.5833333333333334,0.11538461538461539,0.8846153846153846,0.4166666666666667
Bachelors,0.17873303167420815,0.2631578947368421,0.7368421052631579,0.8212669683257918
10th,0.023809523809523808,0.625,0.375,0.9761904761904762
7th-8th,0.0,1.0,0.0,1.0
9th,0.0,1.0,0.0,1.0
12th,0.0,1.0,0.0,1.0
Prof-school,0.5625,0.04838709677419355,0.9516129032258065,0.4375
Assoc-voc,0.13138686131386862,0.4888888888888889,0.5111111111111111,0.8686131386861314
1st-4th,0.0,,,1.0
Preschool,0.0,,,1.0
5th-6th,0.0,0.6666666666666666,0.3333333333333333,1.0
