group,FPR,FNR,TPR,TNR
HS-grad,0.029197080291970802,0.7863247863247863,0.21367521367521367,0.9708029197080292
Assoc-acdm,0.020618556701030927,0.6976744186046512,0.3023255813953488,0.979381443298969
Some-college,0.03690036900369004,0.8216216216216217,0.1783783783783784,0.9630996309963099
Masters,0.0782608695652174,0.7559055118110236,0.2440944881889764,0.9217391304347826
11th,0.006622516556291391,0.3333333333333333,0.6666666666666666,0.9933774834437086
Doctorate,0.08333333333333333,0.7884615384615384,0.21153846153846154,0.9166666666666666
Bachelors,0.04524886877828054,0.7631578947368421,0.23684210526315788,0.9547511312217195
10th,0.031746031746031744,0.625,0.375,0.9682539682539683
7th-8th,0.025,1.0,0.0,0.975
9th,0.0,1.0,0.0,1.0
12th,0.02127659574468085,1.0,0.0,0.9787234042553191
Prof-school,0.0,0.5806451612903226,0.41935483870967744,1.0
Assoc-voc,0.058394160583941604,0.7777777777777778,0.2222222222222222,0.9416058394160584
1st-4th,0.0,,,1.0
Preschool,0.0,,,1.0
5th-6th,0.02040816326530612,0.6666666666666666,0.3333333333333333,0.9795918367346939
