model,protected_attr,DPD,EOD,FPRD,ECE
reweigh,sex,0.043993594903018844,0.02807939907463486,0.009983887147013846,0.0798044511403692
reweigh,race,0.07285641806189752,0.2916666666666667,0.034154351395730705,0.0798044511403692
reweigh,age,0.10727998252338991,0.1688168816881688,0.021255857836830493,0.0798044511403692
reweigh,marital.status,0.12964728312678742,0.3333333333333333,0.05982905982905983,0.0798044511403692
reweigh,education,0.3333333333333333,0.6666666666666666,0.08333333333333333,0.0798044511403692
reweigh,relationship,0.11515397082658024,0.4,0.039308102952977986,0.0798044511403692
expgrad,sex,0.03804797850825238,0.01640306456950541,0.007523361438623508,0.22121546961325966
expgrad,race,0.06489091831557585,0.25,0.034154351395730705,0.22121546961325966
expgrad,age,0.08830245851269648,0.13311331133113313,0.023089558950046916,0.22121546961325966
expgrad,marital.status,0.109628217349857,0.3333333333333333,0.05982905982905983,0.22121546961325966
expgrad,education,0.34615384615384615,0.41935483870967744,0.08333333333333333,0.22121546961325966
expgrad,relationship,0.09562167827970097,0.3,0.027674718833230597,0.22121546961325966
cal_eq_odds,sex,0.03411186547335414,0.011926095671014603,0.002430483554118743,0.007907061562261314
cal_eq_odds,race,0.05925925925925926,0.16666666666666666,0.008394543546694649,0.007907061562261314
cal_eq_odds,age,0.0832512152687736,0.13331333133313333,0.013570167983136707,0.007907061562261314
cal_eq_odds,marital.status,0.07626310772163966,0.3333333333333333,0.012345679012345678,0.007907061562261314
cal_eq_odds,education,0.21794871794871795,0.3333333333333333,0.015873015873015872,0.007907061562261314
cal_eq_odds,relationship,0.0788762830902215,0.2283464566929134,0.017241379310344827,0.007907061562261314
